SKU_Eng,EAN_Code,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,vsPY,vsPM
Children's Tylenol ODG 160mg 12T,8806723001728,,,,,,,,,,,,,,,,,,,,100.0,77.77777777777779,94.73684210526316,,16.95906432748538
Listerine Coolmint 750ml_CR (KR0318),8801008700129,65.35859269282814,71.78909418657052,73.55836849507736,74.30249632892804,75.19650655021834,74.17094815506773,72.91594603943273,75.16846361185983,74.57918241154242,75.0,75.06765899864682,75.81457843466578,75.52966101694916,76.98699421965318,77.76901852581788,77.24770642201835,79.17578409919767,77.37730061349694,77.72925764192141,80.23356401384083,79.39516129032258,79.08552074513125,4.085520745131248,-0.30964054519132844
Nicorette Cool Mint 2mg 30s,8806723000165,84.20148826559817,83.19062640829202,84.29442100328176,84.53255017131669,84.8471615720524,85.10042036431574,83.70805949498444,84.87196765498652,84.50704225352112,84.4267955801105,84.4384303112314,85.18642929123278,85.0635593220339,85.69364161849711,84.86401261332283,85.02752293577981,85.48504741064916,85.39110429447852,86.37554585152839,87.62975778546713,86.61290322580645,86.53683319221,2.1100376120995037,-0.07607003359645148
Nicorette Cool Mint 4mg 30s,8806723000240,65.8271322266743,64.0829202343398,65.07266760431317,64.90455212922174,66.41921397379913,64.549276039234,63.23071601521965,65.4312668463612,65.166609412573,65.29696132596685,65.29093369418133,66.67786362109506,65.36016949152543,66.83526011560693,67.71777690185257,67.26605504587157,67.57840991976659,67.10122699386503,68.90829694323143,70.15570934256056,68.91129032258064,68.28958509737511,2.9926237714082617,-0.6217052252055311
Nicorette Invisi Patch 10mg,8806723001223,33.71493989696623,34.745380802163126,38.67791842475386,37.10230053842389,40.39301310043668,35.17048108360579,32.92978208232445,36.18598382749326,35.27997251803504,36.04972375690607,35.893098782138026,38.15922069197178,36.33474576271186,38.29479768786127,39.574300354749695,39.52293577981651,42.08606856309263,41.14263803680981,45.28384279475982,45.8477508650519,43.83064516129032,42.84504657070279,6.795322813796723,-0.9855985905875286
Nicorette Invisi Patch 15mg,8806723001322,34.28734974241557,35.15096890491212,39.05297702766057,37.44493392070485,40.698689956331876,35.63755254553947,33.241093047388446,36.556603773584904,35.69220199244245,36.39502762430939,36.26522327469553,38.49512932482364,36.68785310734463,38.65606936416185,40.04729996058336,39.96330275229358,42.52370532458059,41.5260736196319,45.80786026200873,46.23702422145329,44.354838709677416,43.35309060118543,6.958062976876036,-1.001748108491988
Nicorette Invisi Patch 25mg,8806723001421,33.94390383514596,35.01577287066246,38.91233005157056,37.44493392070485,40.611353711790386,35.54413825315273,33.310273261847115,36.65768194070081,35.69220199244245,36.49861878453038,36.36671177266576,38.629492777964394,36.68785310734463,38.83670520231214,40.24438312968073,40.110091743119256,42.4872355944566,41.44938650306748,45.72052401746725,46.19377162629758,44.31451612903225,43.31075359864522,6.812134814114842,-1.0037625303870286
Rogaine Foam 60ml_3packs_Male,8806723001537,43.96107613050944,42.31635872014421,45.75714955461791,44.34654919236417,47.72925764192139,44.2316674451191,42.54583189207886,45.95687331536388,45.20783236001374,45.75276243093922,45.50067658998646,47.36311723211286,46.22175141242938,48.59104046242775,49.86204178163185,49.61467889908257,52.18818380743983,51.57208588957055,54.89082969432314,55.622837370242216,53.306451612903224,52.07451312447079,6.32175069353157,-1.2319384884324336
Rogaine Foam 60ml_Male,8806723001513,45.44934172867773,44.56962595763857,48.05438349742147,47.0386686245717,50.08733624454148,46.89397477814105,44.9325492909028,48.07951482479784,47.268979732050845,48.0317679558011,47.86874154262517,49.7480685253611,48.516949152542374,50.9393063583815,52.34528971225857,51.963302752293586,54.44930707512764,53.33588957055214,56.72489082969432,57.30968858131488,55.403225806451616,54.191363251481796,6.159595295680695,-1.2118625549698194
TYLENOL 8HR ER 650MG BLST 6S KR,8806469026016,95.8214081282198,97.02568724650745,97.74964838255976,97.79735682819384,97.99126637554583,98.03829985987856,97.57869249394672,97.80997304582212,97.76709034695979,97.92817679558013,97.93640054127198,98.018139066174,98.0225988700565,98.01300578034682,98.18683484430429,98.20183486238531,98.17651349380014,98.04447852760735,98.07860262008734,98.46547314578004,88.88888888888889,94.73684210526316,-3.191334690316964,5.847953216374279
